sample_id,group,s3_path,filename
H1900009,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900009_S21_L001_R1_001.fastq.gz,H1900009_S21_L001_R1_001.fastq.gz
H1900013,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900013_S22_L001_R1_001.fastq.gz,H1900013_S22_L001_R1_001.fastq.gz
H1900068,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900068_S50_L001_R1_001.fastq.gz,H1900068_S50_L001_R1_001.fastq.gz
H1900072,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900072_S55_L001_R1_001.fastq.gz,H1900072_S55_L001_R1_001.fastq.gz
H1900073,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900073_S57_L001_R1_001.fastq.gz,H1900073_S57_L001_R1_001.fastq.gz
H1900076,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900076_S58_L001_R1_001.fastq.gz,H1900076_S58_L001_R1_001.fastq.gz
H1900095,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900095_S9_L001_R1_001.fastq.gz,H1900095_S9_L001_R1_001.fastq.gz
H1900106,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900106_S12_L001_R1_001.fastq.gz,H1900106_S12_L001_R1_001.fastq.gz
H1900123,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900123_S12_L001_R1_001.fastq.gz,H1900123_S12_L001_R1_001.fastq.gz
H1900137,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900137_S16_L001_R1_001.fastq.gz,H1900137_S16_L001_R1_001.fastq.gz
H1900144,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900144_S35_L001_R1_001.fastq.gz,H1900144_S35_L001_R1_001.fastq.gz
H1900150,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900150_S26_L001_R1_001.fastq.gz,H1900150_S26_L001_R1_001.fastq.gz
H1900153,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900153_S28_L001_R1_001.fastq.gz,H1900153_S28_L001_R1_001.fastq.gz
H1900168,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900168_S10_L001_R1_001.fastq.gz,H1900168_S10_L001_R1_001.fastq.gz
H1900173,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900173_S13_L001_R1_0012.fastq.gz,H1900173_S13_L001_R1_0012.fastq.gz
H1900184,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900184_S21_L001_R1_0019.fastq.gz,H1900184_S21_L001_R1_0019.fastq.gz
H1900194,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900194_S24_L001_R1_0022.fastq.gz,H1900194_S24_L001_R1_0022.fastq.gz
H1900205,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900205_S33_L001_R1_0030.fastq.gz,H1900205_S33_L001_R1_0030.fastq.gz
H1900210,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900210_S37_L001_R1_0034.fastq.gz,H1900210_S37_L001_R1_0034.fastq.gz
H1900225,Control,s3://labmember/JonghwaKim/OC/16S/Control/H1900225_S63_L001_R1_001.fastq.gz,H1900225_S63_L001_R1_001.fastq.gz
